exercise_id,exercise_name,form_name,target_muscle,equipment,intensity_level,experience_level,avg_bpm,est_calories,movement_type,exercise_type,popularity_score
292,Dip,Bench,Shoulders,Resistance Band,Medium,Beginner,154,418,Hold,Endurance,0.71
293,Dip,Bench,Chest,Kettlebell,Medium,Beginner,128,556,Hold,Cardio,0.75
294,Dip,Bench,Shoulders,Barbell,High,Advanced,126,600,Compound,Strength,0.91
295,Dip,Ring,Arms,Bodyweight,Low,Beginner,124,207,Pull,Strength,0.99
296,Dip,Ring,Arms,Barbell,High,Advanced,131,294,Push,Strength,0.95
297,Dip,Ring,Chest,Machine,Medium,Advanced,137,200,Hold,Flexibility,0.83
298,Dip,Weighted,Legs,Plate,Low,Advanced,156,114,Hold,Strength,0.71
299,Dip,Weighted,Core,Plate,Low,Beginner,117,376,Hold,Cardio,0.91
300,Dip,Weighted,Arms,Resistance Band,Medium,Advanced,121,350,Pull,Flexibility,0.93
301,Dip,Assisted,Shoulders,Bodyweight,High,Advanced,147,272,Pull,Strength,0.76
302,Dip,Assisted,Arms,Resistance Band,Low,Intermediate,135,275,Pull,Endurance,0.7
303,Dip,Assisted,Legs,Kettlebell,Low,Intermediate,110,228,Isolation,Strength,0.87
304,Dip,Negative,Back,Plate,High,Beginner,142,555,Isolation,Flexibility,0.76
305,Dip,Negative,Full Body,Machine,Medium,Intermediate,147,516,Compound,Endurance,0.93
306,Dip,Negative,Legs,Plate,Medium,Advanced,154,421,Push,Endurance,0.71
307,Dip,Korean,Legs,Plate,High,Beginner,110,506,Isolation,Cardio,0.73
308,Dip,Korean,Legs,Machine,High,Beginner,142,296,Pull,Flexibility,0.96
309,Dip,Korean,Shoulders,Dumbbell,High,Intermediate,141,563,Hold,Cardio,0.94
310,Dip,Straight Bar,Core,Resistance Band,Low,Intermediate,142,382,Compound,Strength,0.95
311,Dip,Straight Bar,Core,Plate,High,Beginner,156,328,Pull,Endurance,0.97
312,Dip,Straight Bar,Core,Kettlebell,High,Advanced,126,393,Pull,Endurance,0.95
313,Press,Leg Press,Chest,Plate,Low,Beginner,144,259,Compound,Strength,0.89
314,Press,Leg Press,Core,Kettlebell,High,Advanced,135,538,Isolation,Cardio,0.91
315,Press,Leg Press,Arms,Machine,High,Beginner,133,444,Push,Cardio,0.77
316,Press,Chest Press,Shoulders,Barbell,Medium,Beginner,132,276,Hold,Endurance,0.98
317,Press,Chest Press,Shoulders,Plate,Low,Intermediate,156,228,Compound,Strength,0.88
318,Press,Chest Press,Core,Plate,Medium,Beginner,125,523,Hold,Strength,0.98
319,Press,Shoulder Press,Arms,Plate,Low,Advanced,119,273,Pull,Endurance,0.88
320,Press,Shoulder Press,Full Body,Plate,Medium,Intermediate,110,509,Hold,Flexibility,0.99
321,Press,Shoulder Press,Shoulders,Dumbbell,Low,Intermediate,112,125,Compound,Strength,0.93
322,Press,Cable Press,Core,Bodyweight,Medium,Beginner,142,557,Hold,Strength,0.87
323,Press,Cable Press,Arms,Kettlebell,Low,Beginner,129,323,Pull,Endurance,0.9
324,Press,Cable Press,Back,Resistance Band,Medium,Beginner,117,228,Push,Strength,0.96
325,Press,Seated,Chest,Barbell,Low,Intermediate,111,310,Hold,Flexibility,0.94
326,Press,Seated,Core,Plate,Low,Beginner,110,382,Isolation,Endurance,0.71
327,Press,Seated,Full Body,Barbell,Medium,Beginner,128,287,Pull,Strength,0.92
328,Press,Incline,Chest,Resistance Band,Medium,Beginner,132,256,Pull,Endurance,0.95
329,Press,Incline,Arms,Dumbbell,Low,Beginner,152,265,Push,Flexibility,0.89
330,Press,Incline,Core,Resistance Band,Medium,Beginner,143,266,Isolation,Cardio,0.74
331,Press,Decline,Core,Plate,Low,Advanced,135,272,Push,Endurance,0.82
332,Press,Decline,Back,Resistance Band,Medium,Advanced,161,486,Isolation,Flexibility,0.95
333,Press,Decline,Arms,Plate,Medium,Beginner,150,594,Push,Strength,0.88
334,Press,Machine,Back,Resistance Band,High,Beginner,141,286,Compound,Endurance,0.92
335,Press,Machine,Chest,Kettlebell,Medium,Intermediate,110,575,Pull,Endurance,0.86
336,Press,Machine,Legs,Barbell,Medium,Advanced,145,381,Isolation,Cardio,0.83
337,Rowing,Machine,Legs,Machine,Medium,Intermediate,128,373,Hold,Flexibility,0.81
338,Rowing,Machine,Back,Resistance Band,Medium,Advanced,127,305,Hold,Strength,0.72
339,Rowing,Machine,Arms,Barbell,High,Beginner,129,230,Hold,Endurance,0.72
340,Rowing,Water,Core,Plate,High,Advanced,143,521,Isolation,Strength,0.7
341,Rowing,Water,Back,Plate,High,Advanced,157,206,Push,Strength,0.89
342,Rowing,Water,Arms,Barbell,Low,Beginner,162,296,Push,Flexibility,1.0
343,Rowing,Resistance Band,Shoulders,Dumbbell,Medium,Intermediate,126,413,Push,Flexibility,0.77
344,Rowing,Resistance Band,Back,Barbell,Medium,Intermediate,145,395,Pull,Flexibility,0.91
345,Rowing,Resistance Band,Legs,Machine,High,Advanced,148,272,Pull,Endurance,0.74
346,Rowing,Dumbbell,Back,Kettlebell,Low,Intermediate,154,123,Push,Endurance,0.84
347,Rowing,Dumbbell,Chest,Bodyweight,Medium,Beginner,162,317,Hold,Cardio,0.91
348,Rowing,Dumbbell,Back,Machine,High,Intermediate,139,372,Push,Endurance,0.7
349,Rowing,Barbell,Arms,Barbell,High,Advanced,116,530,Push,Strength,0.99
350,Rowing,Barbell,Chest,Bodyweight,Low,Advanced,155,342,Hold,Strength,0.81
351,Rowing,Barbell,Back,Barbell,High,Advanced,127,313,Hold,Flexibility,0.97
352,Rowing,Cable,Back,Barbell,Low,Advanced,159,360,Pull,Endurance,0.83
353,Rowing,Cable,Core,Kettlebell,High,Intermediate,133,271,Push,Strength,0.9
354,Rowing,Cable,Back,Machine,Medium,Advanced,155,468,Pull,Strength,0.99
355,Rowing,Seated,Full Body,Bodyweight,Low,Advanced,139,374,Pull,Cardio,0.77
356,Rowing,Seated,Chest,Resistance Band,High,Intermediate,125,432,Compound,Endurance,0.76
357,Rowing,Seated,Legs,Resistance Band,Low,Advanced,147,247,Isolation,Endurance,0.96
358,Rowing,Inverted,Full Body,Resistance Band,Low,Beginner,126,182,Pull,Cardio,0.85
359,Rowing,Inverted,Legs,Resistance Band,Medium,Intermediate,117,496,Push,Endurance,0.77
360,Rowing,Inverted,Chest,Barbell,Medium,Advanced,114,202,Compound,Cardio,0.8
